Year,wisdom,genius,intellect,consciousness,intuition,imagination,soul,reasoning,judgment,discernment,algorithm,software,database,optimization,automation,computer,processor,artificial intelligence,computer program,data processing,machine learning,neural network,deep learning
1980,2.8114551497237965e-05,1.3118651575003267e-05,4.581264538032307e-06,6.16992698515419e-06,2.494673371461019e-06,1.728825871083458e-05,3.183555737806719e-05,4.865220554796227e-06,1.728825871083458e-05,3.378363608112323e-07,4.1833004932117994e-07,1.235384494963233e-05,2.7518565634509336e-06,3.1138098967746252e-06,1.8088413526181685e-06,2.1341784086729532e-05,1.3566951536614308e-06,1.5483395821100173e-07,1.2307792751474583e-06,2.295794378652149e-06,2.2527373510883458e-07,9.519517535079295e-08,9.637007435398013e-09
1981,2.7826977023178755e-05,1.093896650451206e-05,4.463534225271386e-06,5.911092017897303e-06,2.3204294921181413e-06,1.6809150353710325e-05,3.0028879859568e-05,4.967952702021149e-06,1.6809150353710325e-05,3.613495458154246e-07,3.7933827272068796e-07,1.3394444733962586e-05,3.130144580258661e-06,3.2798295310358024e-06,2.015812526837453e-06,2.2650830824730294e-05,1.5012464202409027e-06,1.5511566977269626e-07,1.1372632771344339e-06,2.4341995297691667e-06,1.2329036753052055e-07,8.744662250444509e-08,7.5088890808779e-09
1982,2.9525849854143794e-05,1.1071485132737676e-05,4.338479284380575e-06,6.030525108089013e-06,2.4659709975112423e-06,1.558912459982688e-05,2.872481959113577e-05,4.950645476996548e-06,1.558912459982688e-05,3.5376714606523927e-07,4.672907239488154e-07,1.3699218757658781e-05,3.34021806608275e-06,3.5949930242635966e-06,2.085085268278399e-06,2.4416742069654034e-05,1.4293043369020737e-06,1.5965731948929216e-07,1.2310873553211457e-06,2.707565489801596e-06,2.016243073111594e-07,9.692607376078293e-08,0.0
1983,2.9427231152722066e-05,1.0662627196650809e-05,4.293060941219414e-06,6.065800132324015e-06,2.4571939340164182e-06,1.5318570150535848e-05,3.0443307967735897e-05,5.5133695379260225e-06,1.5318570150535848e-05,3.566838956364888e-07,5.387292146375893e-07,1.599632042272398e-05,3.443809225247486e-06,3.6113526660782323e-06,2.327443041355084e-06,2.6058399797455487e-05,1.6446515699764372e-06,1.7659117517350834e-07,1.1613166519145207e-06,2.60044086328538e-06,1.7656045235206132e-07,8.249793476949506e-08,0.0
1984,2.8388860430394438e-05,1.1014048508726021e-05,4.112938566823018e-06,6.1237590966854305e-06,2.3990392559352324e-06,1.6223850295973968e-05,2.9186157483760873e-05,5.184367273207228e-06,1.6223850295973968e-05,3.78636001940571e-07,6.09873809378436e-07,1.6477536458192096e-05,3.7370449823169274e-06,3.5551390794974244e-06,2.256238061436899e-06,2.7163018963943853e-05,1.8134035967648587e-06,1.8444008788686226e-07,1.1780264408970528e-06,2.638133610616793e-06,1.9298310854035265e-07,1.0302421977761255e-07,1.9609348272303056e-08
1985,2.8481005586932772e-05,1.119632006841272e-05,4.2277176004324185e-06,6.75421337193328e-06,2.544928679642334e-06,1.7378506484581914e-05,2.8229369873826175e-05,5.415517492469783e-06,1.7378506484581914e-05,3.7224269619013067e-07,5.53367050573153e-07,1.8141181120931507e-05,4.3117824338431096e-06,3.549875210829775e-06,2.437702890733436e-06,2.8834475306059287e-05,1.961203756521158e-06,2.011746855090048e-07,1.2377986050487033e-06,2.705080197792969e-06,2.2572743900773222e-07,1.1314164327509735e-07,6.907204522007118e-09
1986,2.874053197230724e-05,1.179284238808199e-05,4.2672727323765125e-06,6.33582111041445e-06,2.4352850523513745e-06,1.6442574503869112e-05,2.9144572898120363e-05,5.2813960090417225e-06,1.6442574503869112e-05,3.0158697128533714e-07,5.951759844447096e-07,1.8277176373675455e-05,4.715348969581901e-06,3.998732156582935e-06,2.5910420502903283e-06,3.149418506817763e-05,2.0021080532969945e-06,2.0515700351451868e-07,1.3299883069064823e-06,2.9277016289795626e-06,1.9549840480181293e-07,2.816592716206911e-07,0.0
1987,2.7500498470035618e-05,1.132914469829084e-05,4.212737631268138e-06,6.888383907351288e-06,2.3216941777606344e-06,1.4790141293209365e-05,2.8218053393052468e-05,5.064319378691024e-06,1.4790141293209365e-05,3.5752317629316135e-07,6.277888178414862e-07,1.9264274596286177e-05,4.5258072988424504e-06,4.191071876889811e-06,2.7890510170707e-06,3.409788904557136e-05,2.1127552007390333e-06,1.9436108182978318e-07,1.3504959417446421e-06,2.7470046213319372e-06,2.3172322866442685e-07,4.739362292578441e-07,8.394654686138406e-09
1988,2.8438930712409588e-05,1.0871546163173804e-05,4.330787089725299e-06,6.348156491046372e-06,2.52938949455367e-06,1.5944981461449877e-05,2.8338769856082633e-05,5.115958402626513e-06,1.5944981461449877e-05,3.4754667959747823e-07,5.461089900730228e-07,2.116152017200269e-05,4.703983322289153e-06,4.136511692628499e-06,2.7278963293867996e-06,3.5791746850891695e-05,2.3051514445194006e-06,1.995482454618589e-07,1.3862526450426937e-06,3.0922217766378167e-06,1.862744711257375e-07,6.235592928438584e-07,7.684780126028523e-09
1989,2.8707268564282163e-05,1.0356593176809065e-05,3.876354796166362e-06,6.834546908518919e-06,2.7425538560010593e-06,1.556153712113909e-05,2.7871810686570826e-05,5.407954547146276e-06,1.556153712113909e-05,3.3248176927711353e-07,6.758863213827468e-07,2.2975835789232287e-05,5.356758314309648e-06,3.883526745746859e-06,2.7947887896103218e-06,3.6937606175734576e-05,2.281515387475576e-06,2.0001930688647378e-07,1.4433361596969709e-06,3.154215626400718e-06,2.1964190096091482e-07,7.469535842473332e-07,8.139178064320656e-09
1990,2.6480476156961395e-05,1.04720331707586e-05,4.251748779473168e-06,6.617519831347986e-06,2.712217545055432e-06,1.4639835770879807e-05,2.7060536771341132e-05,5.447040884654386e-06,1.4639835770879807e-05,3.3348702979825923e-07,7.510831075545207e-07,2.41134455703267e-05,5.59886099296952e-06,4.274948130019027e-06,2.8535208858117842e-06,3.9483438453147136e-05,2.486936799604535e-06,1.9829224702088255e-07,1.5040075953258712e-06,3.1142919279590306e-06,2.40603782980216e-07,8.556502989273731e-07,0.0
1991,2.7334500836706407e-05,1.0869459152543244e-05,3.828629049118663e-06,7.136544930618895e-06,2.622448056111306e-06,1.572784606330513e-05,2.6930143076591012e-05,5.390184389187886e-06,1.572784606330513e-05,3.590215521891093e-07,8.607425864696178e-07,2.4491168947993738e-05,5.696758134029663e-06,4.590103580742736e-06,3.135826466117238e-06,4.072839462451204e-05,2.58212863576291e-06,1.9077630066403687e-07,1.4666403050313369e-06,3.2463980096813824e-06,2.699873016383812e-07,9.352175249093139e-07,1.4713312495086985e-08
1992,2.7957068200523283e-05,1.0278699170612337e-05,3.863986673572567e-06,7.518003564511654e-06,2.6187243072947084e-06,1.57261259735087e-05,2.6496867065312556e-05,5.503202037320547e-06,1.57261259735087e-05,3.112715024503474e-07,7.756504862521258e-07,2.6158743448274534e-05,5.946826611773071e-06,4.654350274818254e-06,3.0709664041258543e-06,4.2294753382441805e-05,2.6210984077724217e-06,1.9037517966009447e-07,1.6088766048421704e-06,3.243457102736735e-06,2.8613243309078305e-07,9.383327881201331e-07,0.0
1993,2.5524479019251482e-05,1.1522726999032115e-05,3.703571743654125e-06,6.71468143132792e-06,2.507308033564431e-06,1.6283024260463613e-05,2.462510258276624e-05,5.22245461659535e-06,1.6283024260463613e-05,3.591347044270254e-07,9.08816060083604e-07,2.597671396228195e-05,6.038869949679884e-06,4.551030115816672e-06,3.3118717648548876e-06,4.294127722830054e-05,2.8669108690349545e-06,1.963083602085808e-07,1.5657293742118132e-06,3.2711117960933353e-06,3.1800470682704386e-07,9.102986352361316e-07,1.2111356659667679e-08
1994,2.753648914208385e-05,1.0468228068881955e-05,3.692730239546809e-06,6.7395618411180465e-06,2.6409429903606724e-06,1.4853361225331141e-05,2.6031166025534353e-05,5.430685988102957e-06,1.4853361225331141e-05,3.63877876528225e-07,8.901089117600896e-07,2.802236562870419e-05,6.617727336812635e-06,4.915367795276763e-06,3.3547961191008702e-06,4.6257011209198596e-05,2.868374003661405e-06,1.9621820437770392e-07,1.4503401567897431e-06,3.117881866589595e-06,3.0480764179734473e-07,8.537223165242782e-07,2.925864625244613e-09
1995,2.6320730915255236e-05,1.0286278924355793e-05,3.3438222443356265e-06,7.076844089850969e-06,2.5360869082715568e-06,1.4581524511933838e-05,2.5275415830718994e-05,5.5971969852568305e-06,1.4581524511933838e-05,3.3049488165409257e-07,1.0998684613152012e-06,2.951216958620022e-05,6.55963849461921e-06,4.532961946452883e-06,3.3897168905812226e-06,4.6581214218967563e-05,2.7679196008346647e-06,2.1206886008475042e-07,1.5486901592771518e-06,3.0732770258884205e-06,2.6721559348198396e-07,7.527524838790546e-07,1.6973388960009517e-08
1996,2.606626250180595e-05,1.1156689470524083e-05,3.7934626596643224e-06,6.730039932282142e-06,2.5728031793243924e-06,1.5280408401104363e-05,2.546974657113877e-05,5.3717409281833665e-06,1.5280408401104363e-05,3.9515925300308065e-07,1.1033127094399546e-06,3.062218886398774e-05,6.555873539810365e-06,5.052442493633097e-06,3.5730976312552294e-06,4.8083707384532224e-05,2.8093712398867555e-06,2.594649259304022e-07,1.5072749849130802e-06,3.1844256417107734e-06,2.7913014900754404e-07,6.304487998109081e-07,0.0
1997,2.70869627795561e-05,1.0215072754507462e-05,3.7848633107135173e-06,6.428575288259812e-06,2.7484455389972496e-06,1.5481652797015106e-05,2.4881332752665067e-05,5.4974228147750166e-06,1.5481652797015106e-05,3.88232095203069e-07,1.2617179827053916e-06,3.111628937963248e-05,6.957691314753458e-06,5.032636091633337e-06,3.360550143126669e-06,4.770931515760665e-05,2.9726022458964973e-06,2.2998208271074464e-07,1.4349105383729358e-06,2.70900984710586e-06,2.9302058818237093e-07,4.894515526393423e-07,6.964239620595107e-09
1998,2.5976869858675236e-05,1.0033650038333947e-05,3.5733818877969034e-06,6.905769148300672e-06,2.682289755856919e-06,1.453352206565643e-05,2.5384404897317402e-05,5.242725415754434e-06,1.453352206565643e-05,3.803372262875149e-07,1.4368848802063221e-06,2.9564472297765537e-05,6.919532520050916e-06,5.16121196735597e-06,3.5450779867252683e-06,4.834978140148597e-05,2.9191788441328303e-06,2.7092397288075667e-07,1.5411390062568388e-06,3.00132462285963e-06,2.6353848132828486e-07,3.338902621369631e-07,8.448315672196677e-09
1999,2.721152504434274e-05,9.62622258668604e-06,3.58328213076218e-06,6.28031250296398e-06,2.6363187659574846e-06,1.4704766124499998e-05,2.5476069386084587e-05,5.205010113506272e-06,1.4704766124499998e-05,3.750595024600077e-07,1.5902622055598778e-06,2.9241985128950027e-05,7.243535305442927e-06,5.379849976106884e-06,3.6957587121576404e-06,4.904211443754056e-05,3.1034514965107844e-06,8.830586824606045e-09,1.3739648021974846e-06,2.998019920849813e-06,5.722397431319777e-09,4.659230635633392e-09,0.0
2000,2.6584516918406135e-05,9.752839192784564e-06,3.702020018234175e-06,6.748672827052156e-06,2.560869707391579e-06,1.5033730276350322e-05,2.4574247949770124e-05,5.292608721489791e-06,1.5033730276350322e-05,3.8923385392106675e-07,1.4523232747778488e-06,3.259156987519199e-05,7.669095272507654e-06,5.559404847683292e-06,3.764951761976206e-06,5.1704738456691106e-05,3.059943831931826e-06,1.605617304118224e-08,1.5047696469680538e-06,2.9511585990917007e-06,8.635317206701408e-09,0.0,1.1252212431259331e-10
