Year,Agri,Ind,Serv,GDP,nAgri,nInd,nServ,nGDP,Defl,Coal,Iron,Textiles,TotalInd,Construction,PopEng,PopGB,K_nondwell_GB,K_dwell_GB
1700,100.0,100.0,100.0,100.0,,76.01251982427065,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.195805,6.205051294339165,,
1701,111.06349460047156,111.8625582912454,103.49447170050803,108.97205822904704,,79.12963519370888,,88.5464994910403,98.09063779891709,118.75,98.97665251667677,131.71326348549738,91.77832688761067,81.51260504201676,5.210622,6.243315983045056,,
1702,117.73632298883933,101.11236154422029,103.02340010571747,106.16158030914751,,75.82747093629212,,86.99686478980423,95.43605893137382,68.75,99.34808975136445,118.58969346241769,91.06088132951811,79.83193277310924,5.130944,6.287647280902274,,
1703,104.6662071836997,92.64436776145028,103.59802270699919,99.35802266329082,,69.46572622197614,,80.1428114254147,95.58552992041216,87.49999999999997,98.74166161309884,85.41483843561429,99.66477602551431,94.95798319327727,5.2590069999999995,6.341897161069989,,
1704,131.24769830221445,117.0199109643147,109.10511487645303,118.28590078136946,,85.53654770008829,,87.7595095197949,97.20736971140546,106.25,98.40054578532444,134.58892306317125,105.64042792353483,109.24369747899156,5.258024000000001,6.3727119315090235,,
1705,127.0274853290881,105.89725802833665,108.1783846183799,112.26784153982483,,79.36496422540041,,80.0405607220824,97.02581528117207,100.0,97.41510006064281,109.44824951188274,106.09653430843211,101.26050420168065,5.243873,6.3874823453321286,,
1706,98.72092889757131,85.35848892503918,104.57450521118083,95.07338451802228,,64.29575722197626,,77.82753394469101,90.59770396340754,87.49999999999997,97.8623408126137,71.01656331177611,96.86976308103074,93.27731092436973,5.333593,6.408450380075861,,
1707,115.15476517739147,98.30150486175818,110.84723884269994,106.81427520290893,,71.67786641226473,,78.42023212798658,88.16938072688839,81.24999999999999,98.62037598544572,92.75614660298118,108.83145409800974,117.64705882352938,5.324293,6.431911676255449,,
1708,91.18213486790982,127.20545070961577,115.03335774281172,113.69470658216925,,79.57844766489755,,89.39867449529531,88.88928861133311,106.25,98.73408126137052,161.6158910049525,102.55130753088362,105.0420168067226,5.315379,6.454156264800768,,
1709,77.49852974317126,102.62671148999556,110.68823725661731,98.49776695187367,,74.93709972779257,,119.8302027103851,88.29679590169157,112.5,98.38538508186781,110.86717794188537,91.97341536938428,84.03361344537808,5.309902,6.46899236922152,,
1710,72.16046582720433,86.84858041633403,107.55001113187726,89.55051025296623,,69.91907978045563,,123.59103669022313,91.75661179700737,93.74999999999999,100.71255306246209,75.08495213287493,91.82137585010095,79.83193277310924,5.38987,6.48755856217637,,
1711,93.15159320015177,88.52106036210513,113.15726367155725,97.63901431298888,,70.73281160908411,,102.50766236513455,89.39753350807372,106.25,100.78077622801698,87.58319024790208,81.02669956437668,55.462184873949546,5.382325,6.480122438085237,,
1712,100.31933403058642,88.52106036210513,106.89540459858273,97.54912173027806,,68.41818262388448,,93.50781712268207,88.65980612999793,100.0,102.2134627046695,106.95619722898275,81.3534937645852,55.462184873949546,5.313727,6.4677257513639725,,
1713,77.24762998556572,94.17710350285856,105.75456160531189,93.36167832518004,,67.22585010075696,,98.05624068629321,90.71751101867414,100.0,102.91085506367494,127.55946156395757,86.5479923100758,85.71428571428568,5.310003,6.478882275834852,,
1714,95.81336446432259,103.42444020455433,107.50623791830918,102.69851980433337,,75.75838874968244,,104.782248905263,91.46735445582601,125.0,104.10097028502123,120.08238267008139,87.22628221070727,101.68067226890753,5.393804,6.502455019493225,,
1715,84.36356399344159,104.17068806968881,107.08809791280179,99.81647014848444,,70.07857326748555,,89.71036726051403,89.8501792353771,112.5,105.74590661006671,118.87783254907905,91.34171603173546,115.96638655462179,5.397729999999999,6.5099169287339596,,
