Year,fire engine,steam engine,coal barge,coal wharf,coal boat,coal trade,canal boat,coal waggon,coal cart,coal owner,sea coal,coal field,steam boat,steam power,water carriage,land carriage
1729,1.6441826947552078e-09,0.0,0.0,0.0,0.0,2.528435226269364e-08,0.0,0.0,1.6441826947552078e-09,0.0,9.358114791016955e-09,0.0,0.0,4.056420723129252e-09,1.3982064648944612e-08,2.65668244229086e-08
1730,1.6441826947552078e-09,0.0,0.0,0.0,0.0,2.528435226269364e-08,0.0,0.0,1.6441826947552078e-09,0.0,9.358114791016955e-09,0.0,0.0,4.056420723129252e-09,1.3982064648944612e-08,2.65668244229086e-08
1731,1.6441826947552078e-09,0.0,0.0,0.0,0.0,2.528435226269364e-08,0.0,0.0,1.6441826947552078e-09,0.0,9.358114791016955e-09,0.0,0.0,4.056420723129252e-09,2.028210361564626e-09,2.417605366693871e-08
1732,1.6441826947552078e-09,0.0,0.0,0.0,0.0,1.6065382040559532e-08,0.0,0.0,1.6441826947552078e-09,0.0,9.358114791016955e-09,0.0,0.0,4.056420723129252e-09,5.313413835900909e-09,2.417605366693871e-08
1733,1.6441826947552078e-09,0.0,0.0,0.0,0.0,4.921363253426339e-09,0.0,0.0,1.6441826947552078e-09,0.0,0.0,0.0,0.0,4.056420723129252e-09,9.653142919928217e-09,1.3585658820147728e-08
1734,3.028610759007019e-09,0.0,0.0,0.0,0.0,4.921363253426339e-09,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,5.5707261026327615e-09,1.4196058804673482e-08,1.509996419965124e-08
1735,3.028610759007019e-09,0.0,0.0,0.0,0.0,2.8931528918617134e-09,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,1.2167848443108857e-08,9.015332988074728e-09
1736,7.510199700228831e-09,0.0,0.0,0.0,0.0,5.880879021853096e-09,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,2.7106479600596297e-08,1.028833729321832e-08
1737,7.510199700228831e-09,0.0,0.0,0.0,0.0,5.880879021853096e-09,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,3.355873496551405e-08,1.028833729321832e-08
1738,1.0809047371448547e-08,1.0996158904065722e-09,0.0,0.0,0.0,1.2478574364292529e-08,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,7.42445216417309e-08,5.42729708793591e-08
1739,1.0809047371448547e-08,1.0996158904065722e-09,0.0,0.0,0.0,1.3690328616787286e-08,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,7.095931816739462e-08,5.790823363684337e-08
1740,1.3961914798902138e-08,1.0996158904065722e-09,0.0,0.0,0.0,1.2373609438652368e-08,0.0,0.0,0.0,0.0,0.0,3.028610759007019e-09,0.0,1.5143053795035095e-09,7.607819187325862e-08,5.2121927853119946e-08
1741,1.093330403989512e-08,4.151462158168735e-09,0.0,0.0,0.0,1.2373609438652368e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,7.611304551703921e-08,5.823723801613921e-08
1742,1.093330403989512e-08,4.151462158168735e-09,0.0,0.0,0.0,7.703302681453092e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,7.611304551703921e-08,6.999349544400957e-08
1743,6.451715098673308e-09,4.151462158168735e-09,0.0,0.0,0.0,7.860890554362803e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,6.573801921864028e-08,6.928757174356243e-08
1744,2.3105360926121776e-08,4.151462158168735e-09,0.0,0.0,0.0,8.554792430004454e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,7.038819406700116e-08,7.622659049997895e-08
1745,2.650230206719633e-08,3.0518462677621626e-09,0.0,0.0,0.0,8.397207043994318e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,4.1420037685416644e-08,3.391590411691173e-08
1746,3.6319552318023595e-08,3.0518462677621626e-09,0.0,0.0,0.0,1.0403102607930187e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259231338810813e-09,5.6145913061657534e-08,5.8096184751832425e-08
1747,4.685161515892235e-08,4.4203392692208715e-09,0.0,0.0,0.0,1.2298198726057308e-07,0.0,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,1.5259231338810813e-09,6.858319829510557e-08,7.999207277517176e-08
1748,6.81017457030261e-08,1.3684930014587086e-09,0.0,0.0,0.0,1.3431539055578208e-07,0.0,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,8.950558541950418e-08,1.0777934214952925e-07
1749,9.627537015230051e-08,1.3684930014587086e-09,0.0,0.0,0.0,8.62286932650542e-08,1.6572720338915913e-09,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,8.950558541950418e-08,1.2253943726392436e-07
1750,1.010592128076431e-07,1.3684930014587086e-09,0.0,0.0,0.0,8.525297039747265e-08,1.6572720338915913e-09,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,1.1005715500849484e-07,1.393930054557505e-07
1751,1.2181126101446743e-07,8.295473133809343e-09,0.0,0.0,0.0,7.831395164105612e-08,1.6572720338915913e-09,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,1.1557947792490658e-07,1.379955709067206e-07
1752,1.1743571600878308e-07,8.295473133809343e-09,0.0,0.0,0.0,8.141296348185278e-08,1.6572720338915913e-09,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,1.1778331046993376e-07,1.5256333034991648e-07
1753,1.1170294784384233e-07,8.295473133809343e-09,1.3614940286288402e-09,0.0,0.0,7.920316948327257e-08,1.6572720338915913e-09,0.0,0.0,9.579450883328328e-09,0.0,0.0,0.0,0.0,1.275643281165425e-07,1.601466322093919e-07
1754,1.6764114439484145e-07,8.192855156201923e-09,1.3614940286288402e-09,0.0,0.0,6.500514970753102e-08,1.6572720338915913e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3225181508654975e-07,1.7875874494929382e-07
1755,1.6119238743783626e-07,1.4920751872133612e-08,1.3614940286288402e-09,0.0,0.0,6.039964312825369e-08,1.6572720338915913e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43082301308693e-07,1.850548194681778e-07
1756,1.8177857263879105e-07,1.4920751872133612e-08,1.3614940286288402e-09,0.0,0.0,4.99218992493817e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776205006568229e-07,1.8596586112299258e-07
1757,1.94861720917824e-07,2.2277748407922056e-08,1.3614940286288402e-09,0.0,0.0,7.15580042205082e-08,0.0,0.0,2.1019989558469986e-09,0.0,0.0,0.0,0.0,0.0,1.6616831897766004e-07,2.1202346900395241e-07
1758,1.719633058172576e-07,1.758265736181589e-08,1.3614940286288402e-09,0.0,0.0,7.490583797675754e-08,0.0,0.0,2.1019989558469986e-09,0.0,0.0,1.1159445431222333e-09,0.0,0.0,1.52891399604219e-07,2.4777183175014474e-07
1759,1.8530404715428566e-07,1.9992039769687964e-08,1.3614940286288402e-09,0.0,0.0,8.244596979726079e-08,0.0,0.0,3.306690159783037e-09,0.0,0.0,1.1159445431222333e-09,0.0,0.0,1.5463092190819744e-07,3.038115993701597e-07
1760,1.9661943184701158e-07,2.0954531443351243e-08,0.0,0.0,0.0,8.35973799390948e-08,0.0,0.0,3.306690159783037e-09,0.0,0.0,1.1159445431222333e-09,0.0,0.0,1.5322383006832752e-07,3.954616525041794e-07
1761,1.7113569888189367e-07,2.073959435934723e-08,0.0,0.0,1.0509379398472772e-09,1.4032427943431814e-07,0.0,5.254689889560333e-09,3.306690159783037e-09,1.1560317147996102e-08,2.1018758796945545e-09,1.1159445431222333e-09,0.0,2.1018758796945545e-09,1.5501578027559454e-07,3.9909304559517166e-07
1762,1.7890290645742164e-07,1.401169764341554e-08,0.0,0.0,1.0509379398472772e-09,3.0339808532175994e-07,1.0746943652455749e-09,9.553467350542633e-09,3.306690159783037e-09,5.132401018467395e-08,3.176570244940129e-09,1.1159445431222333e-09,0.0,2.1018758796945545e-09,1.702704669323144e-07,4.3260868868141446e-07
1763,1.3868572880580488e-07,1.401169764341554e-08,0.0,0.0,1.0509379398472772e-09,3.2103264199382207e-07,1.0746943652455749e-09,9.553467350542633e-09,3.306690159783037e-09,5.132401018467395e-08,6.024114159889191e-09,1.1159445431222333e-09,0.0,2.1018758796945545e-09,1.7559788087087975e-07,4.820649824718462e-07
1764,1.5484338941210547e-07,7.752270508072051e-09,0.0,0.0,1.0509379398472772e-09,3.397114300339256e-07,1.0746943652455749e-09,9.553467350542633e-09,1.2046912039360385e-09,5.132401018467395e-08,6.024114159889191e-09,1.1159445431222333e-09,0.0,2.1018758796945545e-09,1.8278870632976967e-07,4.676039476895052e-07
1765,1.675926110270406e-07,5.520381421827583e-09,0.0,0.0,1.0509379398472772e-09,3.4415116800801115e-07,1.0746943652455749e-09,9.553467350542633e-09,1.2046912039360385e-09,5.132401018467395e-08,6.024114159889191e-09,0.0,0.0,2.1018758796945545e-09,2.1545839347579333e-07,4.6427841279442615e-07
1766,1.7264039594725285e-07,3.1109990139555066e-09,0.0,0.0,1.0509379398472772e-09,3.557385649547281e-07,1.0746943652455749e-09,9.553467350542633e-09,0.0,5.132401018467395e-08,6.024114159889191e-09,0.0,0.0,2.1018758796945545e-09,2.314055304200987e-07,4.3341447865584216e-07
1767,1.7185867205528537e-07,2.1485073402922286e-09,0.0,0.0,1.0509379398472772e-09,3.4326525571210756e-07,1.0746943652455749e-09,1.385292134971548e-08,0.0,5.132401018467395e-08,6.024114159889191e-09,0.0,0.0,2.1018758796945545e-09,2.194843093304501e-07,3.2356339626663354e-07
1768,1.4452410519132692e-07,2.976462720738482e-08,9.885192347220644e-10,0.0,0.0,2.970138080879029e-07,1.0746943652455749e-09,1.1563789164321342e-08,2.965557704166193e-09,3.9763693036677846e-08,3.922238280194636e-09,0.0,0.0,1.4827788520830966e-08,2.0692529188538954e-07,3.169877333318384e-07
1769,1.3838759725461257e-07,9.111103148131048e-08,9.885192347220644e-10,0.0,0.0,1.50217006579721e-07,0.0,7.2650117033390416e-09,2.965557704166193e-09,0.0,3.943015437966681e-09,0.0,0.0,4.3310048373054344e-08,1.6848562012228285e-07,2.757187473889644e-07
1770,1.372779776837823e-07,9.94731703991241e-08,9.885192347220644e-10,9.2912655347277e-10,0.0,1.6086515535513562e-07,0.0,7.2650117033390416e-09,2.965557704166193e-09,0.0,1.09547152301762e-09,0.0,9.2912655347277e-10,4.5168301479999884e-08,1.4069865171352701e-07,2.2949623509508195e-07
1771,1.1617912777848818e-07,9.936989339312926e-08,9.885192347220644e-10,9.2912655347277e-10,0.0,1.41819690721182e-07,0.0,7.2650117033390416e-09,2.965557704166193e-09,0.0,1.09547152301762e-09,0.0,9.2912655347277e-10,4.5168301479999884e-08,1.3774209760088395e-07,2.723419255192182e-07
1772,9.455172746340525e-08,1.0499899362668787e-07,9.885192347220644e-10,9.2912655347277e-10,0.0,1.661984069098058e-07,0.0,7.2650117033390416e-09,3.769714889451896e-09,0.0,1.09547152301762e-09,0.0,9.2912655347277e-10,4.597245866528559e-08,1.2263266415045238e-07,2.7378121712575064e-07
1773,1.3725587980470015e-07,1.0584449926044823e-07,9.885192347220644e-10,9.2912655347277e-10,0.0,1.6854272288924221e-07,0.0,7.2650117033390416e-09,3.769714889451896e-09,0.0,2.7864827905383596e-09,0.0,9.2912655347277e-10,4.597245866528559e-08,1.2315375589163784e-07,2.907035638242762e-07
1774,1.3965947839470312e-07,1.0962710853387339e-07,9.885192347220644e-10,9.2912655347277e-10,0.0,1.8633631831172742e-07,0.0,2.965557704166193e-09,3.769714889451896e-09,0.0,2.7864827905383596e-09,0.0,9.2912655347277e-10,4.597245866528559e-08,1.3845344121981335e-07,2.895818371127591e-07
1775,2.1588048174489165e-07,8.186321411228294e-08,0.0,1.8322899388221815e-09,0.0,2.0114220993556436e-07,0.0,0.0,8.041571852857032e-10,9.031633853494116e-10,2.7864827905383596e-09,0.0,9.2912655347277e-10,3.1144670144454626e-08,1.4973203426344689e-07,2.962731114410287e-07
