year,cc,lgdppc,lpop,ltot
1700,BEL,7.692569648067906,7.600902459542082,15.293472107609988
1700,CHN,7.341245975725381,11.835008964139341,19.176254939864723
1700,DEU,7.320652114170407,9.615805480084347,16.936457594254755
1700,ESP,7.154587265878132,9.079092085366229,16.233679351244362
1700,FRA,7.471884838360409,9.974458466406707,17.446343304767115
1700,GBR,7.788211557847076,9.05543941075822,16.843650968605296
1700,IND,7.057897937411856,12.013700752882718,19.071598690294575
1700,ITA,7.811372931744918,9.495519314209846,17.306892245954764
1700,JPN,6.9782137426306985,10.203592144986466,17.181805887617166
1700,NLD,8.124744603918096,7.549609165154532,15.674353769072628
1700,POL,6.892641641172089,8.699514748210191,15.59215638938228
1700,PRT,7.360182594869427,7.600902459542082,14.961085054411509
1700,SWE,7.601901959875166,7.138866999945524,14.74076895982069
1701,BEL,7.692358685323085,7.605407281058043,15.297765966381128
1701,CHN,7.3319717853899045,11.843471844889088,19.17544363027899
1701,DEU,7.366032849903127,9.620030633296206,16.986063483199334
1701,ESP,7.1281648133261255,9.081844960505942,16.210009773832066
1701,FRA,7.482378888129536,9.977586101313022,17.459964989442557
1701,GBR,7.868254265520613,9.063007368945804,16.931261634466416
1701,IND,7.056210839054022,12.015670659366586,19.07188149842061
1701,ITA,7.811372931744918,9.49899206207647,17.310364993821388
1701,JPN,6.978224836177078,10.204743397807139,17.182968233984216
1701,NLD,8.228441027904612,7.551320007711756,15.779761035616367
1701,POL,6.898714534329988,8.704119275019506,15.602833809349494
1701,PRT,7.490324853112968,7.605068007738162,15.095392860851131
1701,SWE,7.622174594817622,7.144816673381659,14.76699126819928
1702,BEL,7.692147722578264,7.609912102574005,15.30205982515227
1702,CHN,7.322697595054427,11.851934725638833,19.17463232069326
1702,DEU,7.386327597434011,9.624255786508064,17.010583383942077
1702,ESP,7.074934029351742,9.084597835645656,16.159531864997398
1702,FRA,7.4434636463645525,9.980713736219338,17.424177382583892
1702,GBR,7.8343923029104365,9.070575327133387,16.904967630043824
1702,IND,7.054523740696188,12.017640565850455,19.072164306546643
1702,ITA,7.811509859964839,9.502464809943094,17.31397466990793
1702,JPN,6.978235929723458,10.205894650627814,17.184130580351272
1702,NLD,8.359590332694781,7.55303085026898,15.912621182963761
1702,POL,6.905753276311464,8.708723801828823,15.614477078140286
1702,PRT,7.442451026746497,7.609233555934243,15.051684582680739
1702,SWE,7.623153068476902,7.150766346817794,14.773919415294696
1703,BEL,7.691936759833444,7.614416924089966,15.30635368392341
1703,CHN,7.31342340471895,11.86039760638858,19.173821011107528
1703,DEU,7.3971322162174395,9.628480939719923,17.025613155937364
1703,ESP,7.069692491126125,9.087350710785369,16.157043201911495
1703,FRA,7.483592998190165,9.983841371125653,17.467434369315818
1703,GBR,7.76004068088038,9.078143285320971,16.83818396620135
1703,IND,7.052836642338353,12.019610472334323,19.072447114672677
1703,ITA,7.81164678818476,9.505937557809716,17.317584345994476
