bursts,trend_r2,size05,crit05,mde_gamma,mde_pct
1,0.8577635869248935,0.1975,0.0011322855503901723,0.051660156250000006,12.732950118631358
1,0.8595665272342836,0.1775,0.0024902326455602947,0.05474609375,13.542943647303307
1,0.8809338895896619,0.18666666666666668,0.0033017616057504076,0.051660156250000006,12.732950118631358
1,0.8816993219710149,0.17166666666666666,0.004143411558838627,0.051660156250000006,12.732950118631358
4,0.8990701863669447,0.19333333333333333,0.0021091204055486788,0.05474609375,13.542943647303307
6,0.9074405690579394,0.2,0.001254348056382529,0.06091796875000001,15.180432088164174
2,0.9315634698575548,0.18416666666666667,0.0025773362159414543,0.06708984375,16.841535985061505
2,0.932565632858413,0.1875,0.003611448483078567,0.07326171875000001,18.52659591430099
2,0.9350898870942004,0.17833333333333334,0.0025354523911127057,0.07326171875000001,18.52659591430099
4,0.9429904833304757,0.1625,0.004156011675462995,0.08251953125000001,21.099860484287692
2,0.943695636466109,0.15583333333333332,0.003703672710631405,0.09177734375,23.728991760780826
6,0.9484703939683968,0.2025,0.0028699563532275877,0.08560546875000001,21.969970804403726
10,0.951352124592276,0.155,0.005645643027551195,0.09794921875000001,25.513380885278035
3,0.9522155957588744,0.18833333333333332,0.003363917691212862,0.08560546875000001,21.969970804403726
3,0.9556786577624403,0.215,0.0008602916040084205,0.08560546875000001,21.969970804403726
4,0.9574099668511284,0.18333333333333332,0.002229344998435032,0.10720703125000001,28.238331632407053
3,0.9604556720464545,0.17833333333333334,0.0033086764759313685,0.10103515625000002,26.415202634569845
10,0.9628745041146365,0.15166666666666667,0.0043736880520971275,0.11029296875000001,29.15973232883722
4,0.9644156883820643,0.17833333333333334,0.0026016848422388016,0.10103515625000002,26.415202634569845
40,0.9735394205799175,0.17083333333333334,0.003681689093405388,0.13806640625000002,37.756033644822786
3,0.9766085075956721,0.1875,0.0021980263847286847,0.15041015625000004,41.75805246223403
10,0.9820460059891538,0.1825,0.0018562999667045643,0.15966796875,44.83568217983036
20,0.9827040758605676,0.16,0.003906205398522827,0.15041015625000004,41.75805246223403
6,0.9840371102617665,0.17166666666666666,0.003880694709147926,0.17201171875,49.04337537612802
40,0.9861203309526189,0.16416666666666666,0.004119596252694127,0.18435546875000003,53.37330835317387
6,0.9862303741451699,0.14333333333333334,0.006185269808760526,0.17818359375,51.19284232251449
20,0.989306202649284,0.18916666666666668,0.0020397515639496927,0.21212890625000003,63.581158343732284
40,0.9896981222412143,0.15916666666666668,0.0038646352926082128,0.21212890625000003,63.581158343732284
20,0.9936876506614805,0.15916666666666668,0.003764759965848051,0.27076171875000005,87.41724228350307
10,0.9946179194402347,0.175,0.0028856930045886887,0.29853515625000004,99.89090615250409
