navigation,first_act,last_act,n_acts
TRENT RIVER,1772,1793,2
TRENT AND MERSEY CANAL,1766,1783,5
ULVERSTONE CANAL,1793,1793,1
WARWICK AND BIRMINGHAM CANAL,1796,1798,2
WARWICK AND NAPTON CANAL,1796,1809,2
WEALD OF KENT CANAL,1813,1813,1
WEAR RIVER,1747,1830,5
WEAVER NAVIGATION,1720,1825,4
WELLAND RIVER,1571,1571,1
WEST LOTHIAN RAILWAY,1825,1825,1
WEY RIVER,1760,1760,1
WIGAN BRANCH RAILWAY,1830,1830,1
WILTS AND BERKS CANAL,1795,1810,3
WITHAM RIVER,1702,1826,3
WORCESTER AND BIRMINGHAM CANAL,1791,1815,4
MELTON MOWBRAY NAVIGATION,1701,1800,2
WYRLEY AND ESSINGTON CANAL,1782,1782,1
